price,brand,model,version,year,km,doors,fuel
31.980,Fiat,Palio, ATTRACTIVE 1.4 Fire Flex 8V 5p,2014,49000 km,4,Gasolina e Álcool (flex)
22.000,Fiat,Palio,ELX Dualogic 1.8 mpi Flex 8V 4p,2010,120000 km,4,Gasolina e Álcool (flex)
12.900,Fiat,Palio,2007,87000 km,4,Gasolina e Álcool (flex)
34.900,Fiat,Palio,SPORTING 1.6 COMPLETO,2013,72000 km,4,Gasolina e Álcool (flex)
30.990,Fiat,Palio,16.16v ESSENCE ,2013,91000 km,4,Gasolina e Álcool (flex)
7.999,Fiat,Palio,8V,1997,166000 km,2,Gasolina
15.999,Fiat,Palio,ELX 1.4,2007,199000 km,4,Gasolina e Álcool (flex)
15.000,Fiat,Palio,ELX 1.0/ 1.0 FireFlex 8V 2p,2009,96000 km,2,Gasolina e Álcool (flex)
24.900,Fiat,Palio,2010,78118 km,4,Gasolina e Álcool (flex)
19.900,Fiat,Palio,1.0 FIRE ECONOMY ,2011,136000 km,2,Gasolina e Álcool (flex)
18.900,Fiat,Palio,2008,96000 km,4,Gasolina e Álcool (flex)
22.000,Fiat,Palio,2011,100 km,4,Gasolina e Álcool (flex)
9.500,Fiat,Palio,1998,174000 km,4,Gasolina
22.890,Fiat,Palio,Economy,2014,40000 km,4,Gasolina e Álcool (flex),Monobloco
30.990,Fiat,Palio,Attractive Evo 1.4 Flex,2014,0 km,4,Gasolina e Álcool (flex)
35.900,Fiat,Palio,1.8 Mpi Adventure Weekend 16v,2013,63000 km,4,Gasolina e Álcool (flex)
20.990,Fiat,Palio,PALIO FIRE ECONOMY 1.0 FLEX,2013,60000 km,4,Gasolina e Álcool (flex)
9.990,Fiat,Palio, EX 1.0 MPI FIRE 8V 4P,2001,200000 km,2,Gasolina
19.900,Fiat,Palio, ELX 1.4 MPI FIRE FLEX 8V 4P,2007,120000 km,4,Gasolina e Álcool (flex)
44.800,Fiat,Palio,SPORTING 1.6 Flex 16V 5p,2015,11800 km,4,Gasolina e Álcool (flex)
12.890,Fiat,Palio,2004,10 km,4,Gasolina
11.500,Fiat,Palio,2001,135000 km,4,Gasolina
16.900,Fiat,Palio,1.6,2001,176000 km,4,Gasolina
29.500,Fiat,Palio,attractive 1.4 completo,2013,49864 km,04,Gasolina e Álcool (flex)
12.900,Fiat,Palio,FIRE,2003,180000 km,4,Gasolina,Coupé
19.500,Fiat,Palio,ELX 1.0 mpi Fire/ FireFlex 8V 4p,2008,72000 km,4,Gasolina e Álcool (flex)
25.800,Fiat,Palio,FIRE 1.0 ,2016,13000 km,2,Gasolina e Álcool (flex)
20.990,Fiat,Palio,1.0 MPI ELX 8V FLEX 4P MANUAL,2010,62000 km,5,Gasolina e Álcool (flex)
15.500,Fiat,Palio,1.0 FIRE ECONOMY,2010,100 km,2,Gasolina e Álcool (flex)
19.900,Fiat,Palio,Fire Economy,2011,69000 km,4,Gasolina e Álcool (flex)
44.900,Fiat,Palio,2014,25514 km,4,Gasolina e Álcool (flex)
13.900,Fiat,Palio,1.0/ Trofeo 1.0 Fire/ Fire Flex 2p,2004,60000 km,2,Gasolina
18.890,Fiat,Palio,1.0 MPI ELX 8V FLEX 2P MANUAL,2008,0 km,2,Gasolina e Álcool (flex)
20.900,Fiat,Palio, ELX 1.4 MPI FIRE FLEX 8V 4P,2008,224357 km,4,Gasolina e Álcool (flex)
37.900,Fiat,Palio,2014,81313 km,4,Gasolina e Álcool (flex)
29.900,Fiat,Palio,1.0 Mpi Attractive 8v,2013,0 km,4,Gasolina e Álcool (flex)
10.900,Fiat,Palio,1.0,2000,120000 km,04,Gasolina
18.900,Fiat,Palio,Palio Fire Economy,2014,67400 km,2,Gasolina e Álcool (flex)
38.490,Fiat,Palio,SPORTING 1.8 FLEX MANUAL,2015,40000 km,4,Gasolina e Álcool (flex)
28.800,Fiat,Palio,ATTRACTIVE 1.0,2013,55000 km,4,Gasolina e Álcool (flex)
24.500,Fiat,Palio,2013,60000 km,4,Gasolina e Álcool (flex)
23.500,Fiat,Palio,Palio 1.0 ECONOMY Fire Flex 8V 4p,2015,38000 km,4,Gasolina e Álcool (flex)
22.890,Fiat,Palio,ELX 1.0 mpi Fire/ FireFlex 8V 4p,2010,56262 km,4,Gasolina e Álcool (flex)
19.500,Fiat,Palio,2011,82000 km,4,Gasolina e Álcool (flex)
7.900,Fiat,Palio,1.0 EX 2P,1999,150000 km,2,Gasolina
39.800,Fiat,Palio,1.8 MPI ADVENTURE WEEKEND 16V,2014,52000 km,4,Gasolina e Álcool (flex)
40.999,Fiat,Palio,Palio 1.6 Sporting 16v Flex 4p Automatizado,2015,9698 km,4,Gasolina e Álcool (flex)
35.980,Fiat,Palio,2017,0 km,4,Gasolina e Álcool (flex)
27.900,Fiat,Palio,1.0 Economy FireFlex 8V 4p,2015,17800 km,4,Gasolina e Álcool (flex)
26.980,Fiat,Palio,1.0 MPI FIRE ECONOMY 8V FLEX 4P MANUAL,2015,41000 km,4,Gasolina e Álcool (flex)
17.990,Fiat,Palio,1.0 MPI FIRE ECONOMY 8V FLEX 2P MANUAL,2011,72000 km,2,Gasolina e Álcool (flex)
17.900,Fiat,Palio,2011,47000 km,4,Gasolina e Álcool (flex)
25.999,Fiat,Palio, 1.0 CELEBR. ECONOMY F.FLEX 8V 4P,2012,64320 km,4,Gasolina e Álcool (flex)
20.900,Fiat,Palio, 1.0 ECONOMY FIRE FLEX 8V 4P,2010,112000 km,4,Gasolina e Álcool (flex)
19.900,Fiat,Palio,1.0 Mpi Fire Economy 8v,2014,55800 km,2,Gasolina e Álcool (flex)
17.990,Fiat,Palio,2006,130000 km,4,Gasolina e Álcool (flex)
49.900,Fiat,Palio,2016,3870 km,4,Gasolina e Álcool (flex)
19.900,Fiat,Palio,2008,106000 km,4,Gasolina e Álcool (flex)
38.900,Fiat,Palio,Attractive 1.0 8V Flex,2016,15800 km,4,Gasolina e Álcool (flex)
27.900,Fiat,Palio,1.0 MPI FIRE 8V FLEX 4P MANUAL,2015,0 km,4,Gasolina e Álcool (flex)
17.800,Fiat,Palio,2010,81200 km,4,Gasolina e Álcool (flex)
30.800,Fiat,Palio,Attractive 1.0 8V Flex,2014,0 km,4,Gasolina e Álcool (flex)
22.890,Fiat,Palio,Celebration 1.0 8V Fire Flex,2012,106300 km,4,Gasolina e Álcool (flex)
19.900,Fiat,Palio,1.0 8v flex,2010,119000 km,4,Gasolina e Álcool (flex)
20.900,Fiat,Palio,celebration,2010,127000 km,4,Gasolina e Álcool (flex)
29.300,Fiat,Palio,ATRACTIVE,2014,75000 km,4,Gasolina e Álcool (flex),Coupé
25.900,Fiat,Palio,2015,41999 km,2,Gasolina e Álcool (flex)
30.990,Fiat,Palio,1.6 ESSENCE,2013,32000 km,4,Gasolina e Álcool (flex)
19.500,Fiat,Palio,ECONOMY,2010,77000 km,4,Gasolina e Álcool (flex)
29.890,Fiat,Palio,Attractive 1.0,2014,79500 km,Gasolina e Álcool (flex)
26.300,Fiat,Palio,2013,69462 km,4,Gasolina e Álcool (flex)
27.900,Fiat,Palio,ATTRACTIVE,2013,88000 km,4,Gasolina e Álcool (flex)
27.900,Fiat,Palio,PALIO ATRACTIVE 1.0 FLEX COMPLETO, MENOS AR,2014,88000 km,4,Gasolina e Álcool (flex)
35.400,Fiat,Palio,2016,11000 km,4,Gasolina e Álcool (flex)
35.480,Fiat,Palio,2016,11000 km,4,Gasolina e Álcool (flex)
23.500,Fiat,Palio,2014,49000 km,4,Gasolina e Álcool (flex)
12.500,Fiat,Palio,FIAT PALIO FIRE 1.0 2P 2004.,2004,100000 km,2,Gasolina
8.900,Fiat,Palio,Palio ELX 1.0 4 portas 1999.,1999,150000 km,4,Gasolina
20.000,Fiat,Palio,2011,160000 km,4,Gasolina e Álcool (flex)
19.900,Fiat,Palio,2014,82240 km,2,Gasolina e Álcool (flex)
29.900,Fiat,Palio,PALIO 1.0 8V FLEX ATTRACTIVE 2014.,2014,74000 km,4,Gasolina e Álcool (flex)
17.000,Fiat,Palio,FIRE 1.0 CELEBRATION FLEX 4P,2007,106000 km,4,Gasolina e Álcool (flex)
9.000,Fiat,Palio,1999,134000 km,4,Gasolina
16.500,Fiat,Palio,FIRE 1.0 CELEBRATION FLEX 4P,2007,82000 km,4,Gasolina e Álcool (flex)
34.000,Fiat,Palio,Weekend Adventure Locker 1.8 Flex,2011,84000 km,4,Gasolina e Álcool (flex)
21.900,Fiat,Palio,ELX 1.4 mpi FireFlex 8V 4p,2008,122000 km,4,Gasolina e Álcool (flex)
12.900,Fiat,Palio,2003,115368 km,2,Gasolina
19.900,Fiat,Palio,1.0 Economy FireFlex 8V 4p,2012,80950 km,4,Gasolina e Álcool (flex)
15.000,Fiat,Palio,Palio 2004 ar Condicionado,2004,77000 km,2,Gasolina
16.800,Fiat,Palio,2012,75000 km,4,Gasolina e Álcool (flex)
13.900,Fiat,Palio,1.0 Celebration Economy FireFlex 8V 2p,2007,0 km,3,Gasolina e Álcool (flex)
16.900,Fiat,Palio,2005,999999 km,4,Gasolina e Álcool (flex)
24.900,Fiat,Palio,2009,109000 km,4,Gasolina e Álcool (flex)
15.990,Fiat,Palio,2003,115170 km,4,Gasolina
53.990,Fiat,Palio,2016,20000 km,4,Gasolina e Álcool (flex)
18.500,Fiat,Palio,2008,98319 km,4,Gasolina e Álcool (flex)
29.900,Fiat,Palio,1.0 ATTRACTIVE,2014,34000 km,4,Gasolina e Álcool (flex)
18.990,Fiat,Palio,fire elx,2007,96000 km,4,Gasolina e Álcool (flex)
8.900,Fiat,Palio,1.5 ,1996,140000 km,4,Gasolina,Coupé
29.900,Fiat,Palio,atrative,2014,30000 km,4,Gasolina e Álcool (flex),Coupé
26.800,Fiat,Palio,1.0 MPI ATTRACTIVE 8V,2013,79000 km,4,Gasolina e Álcool (flex)
21.000,Fiat,Palio,1.0 MPI FIRE ECONOMY 8V,2014,48000 km,2,Gasolina e Álcool (flex)
16.500,Fiat,Palio,FIRE FLEX,2008,100 km,4,Gasolina e Álcool (flex)
15.000,Fiat,Palio,Palio Fire Celebration 1.0 8v 4p,2007,169937 km,4,Gasolina e Álcool (flex)
32.990,Fiat,Palio,1.0 MPI ATTRACTIVE 8V FLEX 4P MANUAL,2015,29000 km,5,Gasolina e Álcool (flex)
31.990,Fiat,Palio,1.4 MPI ATTRACTIVE 8V FLEX 4P MANUAL,2013,29000 km,5,Gasolina e Álcool (flex)
19.900,Fiat,Palio,1.0 MPI FIRE ECONOMY 8V FLEX 4P MANUAL,2010,0 km,4,Gasolina e Álcool (flex)
30.990,Fiat,Palio,ATTRACTIV,2013,85000 km,4,Gasolina e Álcool (flex)
22.990,Fiat,Palio,1.0 Mpi Fire Economy 8v,2012,129000 km,4,Gasolina e Álcool (flex)
34.990,Fiat,Palio,1.0 Mpi Attractive 8v,2016,27000 km,4,Gasolina e Álcool (flex)
23.900,Fiat,Palio,2014,70000 km,4,Gasolina e Álcool (flex)
36.980,Fiat,Palio,1.6 MPI ESSENCE 16V FLEX 4P MANUAL,2015,0 km,4,Gasolina e Álcool (flex)
25.800,Fiat,Palio,Economy,2016,4700 km,02,Gasolina e Álcool (flex),Coupé
38.900,Fiat,Palio,2016,38117 km,4,Gasolina e Álcool (flex)
34.900,Fiat,Palio,1.8 MPI ADVENTURE WEEKEND 16V,2011,69000 km,4,Gasolina e Álcool (flex)
15.500,Fiat,Palio,2008,108000 km,4,Gasolina e Álcool (flex)
22.890,Fiat,Palio,ELX 1.0 mpi Fire/ FireFlex 8V 4p,2010,56262 km,4,Gasolina e Álcool (flex)
16.900,Fiat,Palio,FIRE 1.0,2008,0 km,4,Gasolina e Álcool (flex)
25.990,Fiat,Palio,2015,38000 km,4,Gasolina e Álcool (flex)
22.890,Fiat,Palio,ELX 1.0 mpi Fire/ FireFlex 8V 4p,2010,56262 km,4,Gasolina e Álcool (flex)
30.900,Fiat,Palio,Essence 1.6 Flex 16V 5p,2013,93800 km,4,Gasolina e Álcool (flex)
29.500,Fiat,Palio,PALIO ATTRACTIVCE 1.0 FLEX,2014,69428 km,4,Gasolina e Álcool (flex)
26.990,Fiat,Palio,ATTRACTIVE 1.0 EVO ,2012,59567 km,4,Gasolina e Álcool (flex),Monobloco
14.500,Fiat,Palio,2008,103000 km,3,Gasolina e Álcool (flex)
17.500,Fiat,Palio,2009,113054 km,4,Gasolina e Álcool (flex)
20.990,Fiat,Palio,2010,125100 km,4,Gasolina e Álcool (flex)
13.800,Fiat,Palio,2001,90000 km,4,Gasolina
37.900,Fiat,Palio,1.0 ATRACTIVE EVO,2016,35000 km,4,Gasolina e Álcool (flex)
13.990,Fiat,Palio,1.0 FLEX,2008,80000 km,4,Gasolina e Álcool (flex),SUV
31.900,Fiat,Palio,ESSENCE 1.6,2013,108000 km,4,Gasolina e Álcool (flex)
10.900,Fiat,Palio,FIRE,2005,102000 km,2,Gasolina
14.900,Fiat,Palio,2008,143694 km,2,Gasolina e Álcool (flex)
23.900,Fiat,Palio,Palio ATTRACTIVE 1.4 EVO F.Flex 8V 5p,2011,166 km,4,Gasolina e Álcool (flex)
23.900,Fiat,Palio,1.0 Celebration Economy Fire 8V,2012,75311 km,4,Gasolina e Álcool (flex)
37.000,Fiat,Palio,2015,111 km,4,Álcool
36.900,Fiat,Palio,Fire,2016,100 km,4,Gasolina e Álcool (flex)
22.000,Fiat,Palio,2011,100 km,4,Gasolina e Álcool (flex)
5.900,Fiat,Palio,1.0 Economy FireFlex 8V 4p,2003,75000 km,4,Gasolina e Álcool (flex)
10.500,Fiat,Palio,4 portas fire ,2003,89000 km,4,Gasolina
28.900,Fiat,Palio,2013,2013,89593 km,4,Gasolina e Álcool (flex)
31.900,Fiat,Palio,1.0 MPI ATTRACTIVE 8V FLEX 4P MANUAL,2015,43000 km,4,Gasolina e Álcool (flex)
15.900,Fiat,Palio,1.3 MPI FIRE ELX WEEKEND 8V FLEX 4P MANUAL,2005,1000 km,4,Gasolina e Álcool (flex)
31.900,Fiat,Palio,1.4 MPI ATTRACTIVE WEEKEND 8V FLEX 4P MANUAL,2014,49000 km,4,Gasolina e Álcool (flex)
32.900,Fiat,Palio,2015,55000 km,4,Gasolina e Álcool (flex)
15.900,Fiat,Palio,1.0 MPI FIRE CELEBRATION 8V FLEX 2P MANUAL,2008,0 km,2,Gasolina e Álcool (flex)
20.900,Fiat,Palio,1.4 MPI ELX 8V FLEX 4P MANUAL,2008,0 km,4,Gasolina e Álcool (flex)
44.900,Fiat,Palio,2016,25000 km,4,Gasolina e Álcool (flex)
29.800,Fiat,Palio,2013,76576 km,4,Gasolina e Álcool (flex)
24.990,Fiat,Palio,2013,1 km,4,Gasolina e Álcool (flex)
29.990,Fiat,Palio,2015,56542 km,4,Gasolina e Álcool (flex)
23.500,Fiat,Palio,1.4 Mpi Attractive 8v,2011,112000 km,4,Gasolina e Álcool (flex)
15.900,Fiat,Palio,Fiat Palio Fire Celebration 1,0 2010 Edificar Veiculos,2010,130269 km,4,Gasolina e Álcool (flex)
20.900,Fiat,Palio,2010,110567 km,4,Gasolina e Álcool (flex)
40.990,Fiat,Palio,1.0 Mpi Attractive 8v,2017,0 km,4,Gasolina e Álcool (flex)
35.900,Fiat,Palio,2015,33421 km,4,Gasolina e Álcool (flex)
25.900,Fiat,Palio,2016,43000 km,4,Gasolina e Álcool (flex)
28.990,Fiat,Palio,WAY 1.0,2015,1 km,4,Gasolina e Álcool (flex)
17.900,Fiat,Palio,ELX 1.0 8V FIRE 4P,2008,134500 km,4,Gasolina e Álcool (flex)
39.900,Fiat,Palio,2016,27000 km,4,Gasolina e Álcool (flex)
25.900,Fiat,Palio,2011,82000 km,4,Gasolina e Álcool (flex)
22.900,Fiat,Palio,Economy 1.0 8V Fire Flex,2013,55000 km,2,Gasolina e Álcool (flex)
39.900,Fiat,Palio,1.6 Mpi Essence 16v,2015,28262 km,4,Gasolina e Álcool (flex)
22.990,Fiat,Palio,Fiat Palio Elx N.serie 1.0 8v Flex  4p - 08/09,2009,89000 km,4,Gasolina e Álcool (flex)
27.900,Fiat,Palio,Attractive 1.0 MPI 8v 4p Completo,2013,89372 km,4,Gasolina e Álcool (flex)
15.900,Fiat,Palio,fire ,2007,140325 km,4,Gasolina e Álcool (flex)
35.500,Fiat,Palio,Essence 1.6 MPI 16V,2015,39500 km,4,Gasolina e Álcool (flex)
17.000,Fiat,Palio,celebration ,2007,83 km,4,Gasolina e Álcool (flex)
36.900,Fiat,Palio,1.8 MPI ADVENTURE LOCKER WEEKEND 16V,2012,78273 km,4,Gasolina e Álcool (flex)
25.990,Fiat,Palio,1.0 Mpi Fire 8v,2015,32061 km,4,Gasolina e Álcool (flex)
26.990,Fiat,Palio,1.0 Mpi Fire 8v,2015,46286 km,4,Gasolina e Álcool (flex)
29.950,Fiat,Palio,2015,70714 km,4,Gasolina e Álcool (flex)
28.900,Fiat,Palio,1.4 Mpi Attractive 8v,2013,65000 km,4,Gasolina e Álcool (flex)
29.990,Fiat,Palio,Attractive 1.0 8V Flex,2013,0 km,4,Gasolina e Álcool (flex)
27.900,Fiat,Palio,2015,80000 km,2,Gasolina e Álcool (flex)
23.900,Fiat,Palio,2012,118792 km,4,Gasolina e Álcool (flex)
15.900,Fiat,Palio,2007,80700 km,4,Gasolina e Álcool (flex)
18.990,Fiat,Palio,1.0 Mpi Fire 8v,2017,103383 km,4,Gasolina e Álcool (flex)
10.990,Fiat,Palio,EDX 1.0 MPI 8V,1996,0 km,4,Gasolina
26.500,Fiat,Palio,1.0 8V,2015,44665 km,4,Gasolina e Álcool (flex)
9.500,Fiat,Palio,2001,15000 km,2,Gasolina
21.900,Fiat,Palio,ELX 1.4 mpi FireFlex 8V 4p,2008,75328 km,4,Gasolina e Álcool (flex)
14.780,Fiat,Palio,Fiat Palio Fire 1.0 8V Flex Ano 2007,2007,100000 km,3,Gasolina e Álcool (flex)
32.800,Fiat,Palio,2013,27000 km,4,Gasolina e Álcool (flex)
36.999,Fiat,Palio,Evo Attractive 1.4,2016,17400 km,4,Gasolina e Álcool (flex)
17.900,Fiat,Palio,FIRE 1.0 ,2008,98000 km,4,Gasolina e Álcool (flex)
20.900,Fiat,Palio,1.0 Mpi Fire Economy 8v,2012,60000 km,2,Gasolina e Álcool (flex)
30.900,Fiat,Palio,PALIO ATTRATIVE 1.0 FLEX,2014,66000 km,5,Gasolina e Álcool (flex)
16.900,Fiat,Palio,FIRE 1.0,2008,0 km,4,Gasolina e Álcool (flex)
30.900,Fiat,Palio,PALIO ESSENCE 1.6 FLEX,2013,46000 km,5,Gasolina e Álcool (flex)
19.900,Fiat,Palio,2010,72400 km,4,Gasolina e Álcool (flex)
35.000,Fiat,Palio,2014,111 km,4,Gasolina e Álcool (flex)
31.900,Fiat,Palio,2015,24000 km,4,Gasolina e Álcool (flex)
40.500,Fiat,Palio,2015,54700 km,2,Gasolina e Álcool (flex)
30.500,Fiat,Palio,2013,45000 km,4,Gasolina e Álcool (flex)
39.800,Fiat,Palio,2014,11980 km,4,Gasolina e Álcool (flex)
10.400,Fiat,Palio,2005,100000 km,4,Gasolina
9.900,Fiat,Palio,ED 1.0,1997,171000 km,4,Gasolina
8.900,Fiat,Palio,Yong 1.0,2001,89000 km,2,Gasolina
44.900,Fiat,Palio,2016,15000 km,4,Gasolina e Álcool (flex)
22.900,Fiat,Palio,fire 1.0 flex 4p,2014,55000 km,4,Gasolina e Álcool (flex)
8.950,Fiat,Palio,2002,1 km,4,Álcool
23.800,Fiat,Palio,2013,52172 km,4,Gasolina e Álcool (flex)
20.900,Fiat,Palio,ECONOMY,2011,78000 km,04,Gasolina e Álcool (flex)
18.900,Fiat,Palio, F.Flex 8V 4p,2008,98000 km,4,Gasolina e Álcool (flex)
69.990,Fiat,Palio,1.8 Mpi Adventure Weekend 16v,2017,0 km,4,Gasolina e Álcool (flex)
29.990,Fiat,Palio,1.4 Mpi Attractive 8v Flex 4p Manual,2012,73479 km,4,Gasolina e Álcool (flex)
28.900,Fiat,Palio,2015,65231 km,4,Gasolina e Álcool (flex)
19.900,Fiat,Palio, 1.0 CELEBR. ECONOMY F.FLEX 8V 4P,2010,97314 km,4,Gasolina e Álcool (flex)
22.990,Fiat,Palio,1.0 Mpi Fire Economy 8v Flex 4p Manual,2012,92373 km,4,Gasolina e Álcool (flex)
22.900,Fiat,Palio,2007,10000 km,4,Gasolina e Álcool (flex)
22.900,Fiat,Palio,2010,56847 km,4,Gasolina e Álcool (flex)
20.900,Fiat,Palio,2013,100 km,4,Gasolina e Álcool (flex)
32.990,Fiat,Palio,1.4 Mpi Attractive 8v,2014,45515 km,4,Gasolina e Álcool (flex)
36.900,Fiat,Palio,1.6 Mpi Sporting 16v,2014,24000 km,4,Gasolina e Álcool (flex)
13.000,Fiat,Palio,1.0 Mpi Fire 8v Flex 2p Manual,2005,96772 km,2,Gasolina e Álcool (flex)
18.990,Fiat,Palio,1.0 Mpi Fire 8v,2008,141584 km,4,Gasolina e Álcool (flex)
14.490,Fiat,Palio,Fire 1.0,2008,191019 km,2,Gasolina e Álcool (flex)
17.000,Fiat,Palio,FIRE FLEX,2007,0 km,4,Gasolina e Álcool (flex)
23.900,Fiat,Palio,Fire Economy 1.0,2012,75999 km,4,Gasolina e Álcool (flex)
17.500,Fiat,Palio,1.0 FIRE FLEX,2011,92000 km,2,Gasolina e Álcool (flex),Monobloco
18.900,Fiat,Palio,FIRE 1.0,2010,98600 km,2,Gasolina e Álcool (flex)
23.900,Fiat,Palio,Fire Economy 1.0,2012,75999 km,4,Gasolina e Álcool (flex)
28.900,Fiat,Palio,Attractive 1.0 8V Flex,2014,47478 km,4,Gasolina e Álcool (flex)
25.900,Fiat,Palio,1.0 MPI 8V Fire,2014,47000 km,4,Gasolina
19.900,Fiat,Palio,2011,85000 km,4,Gasolina e Álcool (flex)
28.800,Fiat,Palio,ATRACTIVE,2014,22500 km,4,Gasolina e Álcool (flex)
28.900,Fiat,Palio,atrative ,2013,49000 km,4,Gasolina e Álcool (flex)
31.900,Fiat,Palio,2014,0 km,4,Gasolina e Álcool (flex)
11.800,Fiat,Palio,fire,2006,123000 km,2,Gasolina e Álcool (flex)
21.900,Fiat,Palio,2012,96307 km,4,Gasolina e Álcool (flex)
27.890,Fiat,Palio,Attractive 1.0 8V Flex,2013,59000 km,4,Gasolina e Álcool (flex)
19.500,Fiat,Palio,2008,118000 km,4,Gasolina e Álcool (flex)
7.000,Fiat,Palio,PALIO ED 1.0 4P,1998,164760 km,04,Gasolina
9.900,Fiat,Palio,EX,1999,100000 km,4,Gasolina
29.900,Fiat,Palio,1.4 8V,2013,84358 km,4,Gasolina e Álcool (flex)
24.000,Fiat,Palio,palio fire 1.0,2014,34000 km,4,Gasolina e Álcool (flex)
33.980,Fiat,Palio,ESSENCE,2014,49000 km,4,Gasolina e Álcool (flex)
15.900,Fiat,Palio,FIRE,2008,0 km,02,Gasolina e Álcool (flex)
26.500,Fiat,Palio,2012,33582 km,4,Gasolina e Álcool (flex)
17.900,Fiat,Palio,2012,75554 km,2,Gasolina e Álcool (flex)
97.897,Fiat,Palio,2017,0 km,5,Diesel
27.900,Fiat,Palio,1.0 MPI ATTRACTIVE 8V,2013,79000 km,4,Gasolina e Álcool (flex)
19.900,Fiat,Palio,2006,115406 km,4,Gasolina e Álcool (flex)
31.990,Fiat,Palio,1.4 MPI ATTRACTIVE 8V FLEX 4P MANUAL,2013,25000 km,4,Gasolina e Álcool (flex)
21.990,Fiat,Palio, 1.0 CELEBR. ECONOMY F.FLEX 8V 4P,2009,100000 km,4,Gasolina e Álcool (flex)
8.490,Fiat,Palio,EDX 1.0,1997,1 km,4,Gasolina
45.500,Fiat,Palio,2016,29800 km,4,Gasolina e Álcool (flex)
23.900,Fiat,Palio,1.6 MPI ESSENCE 16V FLEX 4P MANUAL,2013,80000 km,4,Gasolina e Álcool (flex)
27.900,Fiat,Palio,1.6 MPI ESSENCE 16V FLEX 4P MANUAL,2013,55000 km,4,Gasolina e Álcool (flex)
20.980,Fiat,Palio,ELX,2010,122000 km,04,Gasolina e Álcool (flex)
19.900,Fiat,Palio,1.0 MPI FIRE ECONOMY 8V FLEX 4P MANUAL,2011,0 km,4,Gasolina e Álcool (flex)
18.900,Fiat,Palio,CELEBRATION 1.0,2007,99000 km,4,Gasolina e Álcool (flex)
34.990,Fiat,Palio,1.4 MPI ATTRACTIVE WEEKEND 8V FLEX 4P MANUAL,2014,30000 km,4,Gasolina e Álcool (flex)
16.500,Fiat,Palio,FIAT PALIO CELEBRATION 1.0 FIRE 8V			,2010,10000 km,4,Gasolina e Álcool (flex)
22.320,Fiat,Palio,1.0 MPI FIRE 8V FLEX 4P MANUAL,2015,45000 km,4,Gasolina e Álcool (flex)
17.900,Fiat,Palio,2008,80000 km,4,Gasolina e Álcool (flex)
35.900,Fiat,Palio,Attractive 1.0 Flex,2016,9000 km,4,Gasolina e Álcool (flex)
31.990,Fiat,Palio,2015,49834 km,4,Gasolina e Álcool (flex)
31.990,Fiat,Palio,2013,97481 km,4,Gasolina e Álcool (flex)
24.900,Fiat,Palio,2015,52000 km,4,Gasolina e Álcool (flex),Coupé
24.990,Fiat,Palio,2013,52001 km,4,Gasolina e Álcool (flex)
27.900,Fiat,Palio,2013,68000 km,4,Gasolina e Álcool (flex)
20.990,Fiat,Palio,Fiat Palio 1.0 2P (Flex) (Mec) Direção Hidraulica 2008,2014,42000 km,2,Gasolina e Álcool (flex)
20.990,Fiat,Palio,Fiat Palio 1.0 2P (Flex) (Mec) Direção Hidraulica 2008,2014,42000 km,2,Gasolina e Álcool (flex)
42.900,Fiat,Palio,1.6 SPORTING ,2015,33100 km,4,Gasolina e Álcool (flex)
20.000,Fiat,Palio,1.0 Economy FireFlex 8V 2p,2012,70182 km,2,Gasolina e Álcool (flex)
22.000,Fiat,Palio,2008,0 km,4,Gasolina e Álcool (flex)
26.990,Fiat,Palio,2013,46198 km,4,Gasolina e Álcool (flex)
13.500,Fiat,Palio,2004,999999 km,2,Gasolina
23.900,Fiat,Palio,2014,32403 km,2,Gasolina e Álcool (flex)
43.900,Fiat,Palio,2015,33554 km,4,Álcool
29.990,Fiat,Palio,2013,77514 km,4,Gasolina e Álcool (flex)
31.000,Fiat,Palio,SPORTING Dualogic 1.6 Flex 16V 5p,2013,89000 km,4,Gasolina e Álcool (flex)
18.490,Fiat,Palio,1.0 Mpi Fire Economy 8v,2013,55000 km,2,Gasolina e Álcool (flex)
48.900,Fiat,Palio,2014,53000 km,5,Gasolina e Álcool (flex)
27.500,Fiat,Palio,2014,54439 km,4,Gasolina e Álcool (flex)
22.900,Fiat,Palio,ELX 1.0,2010,50000 km,4,Gasolina e Álcool (flex)
18.490,Fiat,Palio,1.0 Mpi Fire Economy 8v,2013,55000 km,2,Gasolina e Álcool (flex)
40.000,Fiat,Palio,2013,71000 km,4,Gasolina e Álcool (flex)
16.900,Fiat,Palio,Palio Elx 1.0,2008,100500 km,2,Gasolina e Álcool (flex)
16.500,Fiat,Palio,Palio 1.0 ECONOMY Fire Flex 8V 4p,2010,87129 km,4,Gasolina e Álcool (flex)
8.700,Fiat,Palio,2006,104000 km,2,Gasolina
16.990,Fiat,Palio,1.0 celebration ,2008,90000 km,4,Gasolina e Álcool (flex)
14.900,Fiat,Palio,1.0/ Trofeo 1.0 Fire/ Fire Flex 2p,2007,1 km,2,Gasolina e Álcool (flex)
38.900,Fiat,Palio,Sporting 1.6 16V Flex,2012,60800 km,4,Gasolina e Álcool (flex)
25.999,Fiat,Palio,fiat palio attractiv 1.0,2013,56000 km,4,Gasolina e Álcool (flex)
41.990,Fiat,Palio,Sporting 1.6,2015,30000 km,4,Gasolina e Álcool (flex)
